GATE_DS_SB: 816.6926><507.231><674.7813><407.7235><2><><48><35
GATE_SB_SL: 4468.977><546.2061><3252.821><371.4446><1><><48><35
GATE_LF_SB: -844.0234><1312.204><-475.1786><1140.447><1><><48><35
SB_F03: -1012.559><1006.613><-615.0411><734.8732><1><><48><232
SB_A10: -834.2938><1068.147><-477.9185><990.4682><1><><54><35
SB_A09: -1271.169><823.5217><-789.7798><759.3262><1><><48><35
SB_H03: -1040.583><578.8134><-789.8943><502.6782><1><Subterranean><204><78
SB_S06: -1550.436><537.6931><-911.6128><644.7568><2><><48><25
SB_H02: -416.5824><463.8136><-349.8945><426.6787><1><Subterranean><204><78
SB_A04: -811.5828><377.8139><-475.8943><411.6787><1><Subterranean><54><35
SB_A13: -969.0021><378.1323><-585.7178><410.2475><1><Subterranean><48><35
SB_A01: -692.5828><344.8139><-400.895><259.6787><2><Subterranean><52><35
SB_A11: -654.5214><233.5154><-392.8278><128.3745><1><Subterranean><48><35
SB_B01: -354.5824><258.8139><-261.8945><125.6794><1><Subterranean><105><35
SB_S07: -444.2876><174.5066><-241.7136><-6.734335><1><><48><35
SB_A12: -53.52046><236.5154><55.17286><113.3745><1><Subterranean><48><35
SB_C01: -384.5824><351.8142><-277.8945><262.6787><2><Subterranean><148><35
SB_B02: 12.41732><356.8142><38.10571><254.6787><2><Subterranean><113><35
SB_C05: 147.4173><-61.18661><186.1054><-41.3215><2><><48><121
SB_A03: -28.58299><415.8134><95.10546><366.6787><1><Subterranean><49><35
SB_E04: 359.4179><508.8134><128.1058><499.6782><1><Subterranean><254><38
SB_C06: 397.4176><269.8142><330.1048><216.6787><2><><48><121
SB_S03: 396.6932><265.2318><435.782><318.7235><2><><48><35
SB_F02: 440.4176><-32.18631><351.105><-64.3215><2><Filtration System><104><121
SB_D04: 670.4172><268.8139><555.1046><99.67862><2><Filtration System><48><150
SB_S04: 656.4158><548.4042><552.3153><442.7612><2><><48><35
SB_G03: 1378.425><524.8134><677.1046><503.6782><1><Subterranean><355><35
SB_F01: 1109.425><247.8136><836.1063><152.6785><2><Filtration System><105><121
SB_J01: 2298.422><562.8134><1416.102><495.6779><1><Subterranean><252><78
SB_E02: 3079.422><625.8134><2064.103><568.6782><1><Subterranean><252><35
SB_G02: 4006.421><625.8134><2632.103><568.6782><1><Subterranean><362><35
SB_S05: 4607.74><628.5245><3384.257><568.9401><1><><48><35
SB_TC07: 2470.388><503.0916><1729.498><352.7292><0><><154><45
SB_J02: 3090.422><432.8134><2061.103><273.6787><0><Subterranean><252><78
SB_J03: 2417.422><364.8139><1559.102><126.6787><1><><504><37
SB_S02: 2949.313><296.3792><2382.766><-9.999056><1><><48><35
SB_I01: 329.4176><-392.1858><204.1049><-378.3213><2><Filtration System><152><120
SB_S01: 328.5744><-224.8334><93.73116><-189.2236><1><><48><35
SB_D06: 143.4173><-771.1866><182.1053><-735.3229><2><><48><154
SB_E05: -131.5826><-999.1866><-216.8947><-871.3218><1><Depths><262><35
SB_A14: -607.4404><-999.3069><-384.6127><-828.2432><1><Depths><54><35
SB_D02: -1006.583><-1000.187><-809.8943><-823.3218><1><Depths><204><35
SB_A02: -872.5828><-894.1866><-564.8948><-609.3212><2><Depths><48><35
SB_J04: -1486.575><-905.1866><-1158.898><-660.3218><2><Depths><255><78
SB_A08: -2100.575><-953.1866><-1383.898><-654.3218><2><Depths><48><35
SB_B03: -2263.578><-902.1866><-1529.898><-662.3218><1><Depths><48><78
SB_A07: -2146.575><-1073.188><-1463.898><-864.3218><1><Depths><48><35
SB_E03: -1696.575><-994.1866><-1349.894><-822.3218><1><Depths><255><40
SB_D05: -1469.575><-1077.188><-1092.898><-954.3218><0><Depths><204><35
SB_A06: -1432.575><-1186.189><-907.8943><-1071.32><0><Depths><48><35
SB_A05: -1148.579><-1184.189><-742.8943><-1038.321><0><Depths><48><35
SB_D03: -2644.578><-974.1866><-1975.898><-668.3218><1><Depths><204><35
SB_D07: -2949.578><-1256.191><-2021.898><-1107.319><1><Depths><48><150
SB_D01: -2665.203><-1545.556><-1912.429><-1226.876><1><Depths><104><78
SB_C08: -2213.517><-1592.595><-1679.632><-1224.462><1><Depths><152><35
SB_E01: -1557.202><-1587.556><-1363.429><-1226.876><1><Depths><252><35
SB_E06: -771.2092><-1598.556><-840.4264><-1231.876><1><Depths><268><35
SB_C09: -280.5223><-1717.595><-289.6268><-1397.462><1><Depths><54><120
SB_L01: 128.7906><-1956.556><-153.4265><-1563.876><1><Depths><210><126
GATE_SB_OE: -2183.154><566.2144><-1419.045><608.6948><1><><48><35
